"NVP_BID_NR","SVC_GRP_NR","CNY_CD","CCY_CD","MVM_DRC_CD","SVC_FEA_TYP_CD","SVM_TYP_CD","PKG_CHA_TYP_CD","PKG_ACQ_MTH_TYP_CD","ASY_SVC_TYP_CD","ASY_UNT_QY","ASY_LIS_RVN_A"
"I110000891","ACCRVJO","US","USD","N","ALL","1DA","ALL","ALL","FSC",1,0.1
"I110000891","ACCRVJP","US","USD","N","ALL","1DA","ALL","ALL","GDL",100,0.1
"I110000891","ACCRVJQ","US","USD","N","ALL","GND","ALL","ALL","GDL",100,0.1
"I110000891","ACCRVJR","US","USD","N","ALL","GND","ALL","ALL","RES",100,340
"I110000891","ACCRVJS","US","USD","N","ALL","1DA","ALL","ALL","RES",100,340
"I930000891","ACCRVJB","US","USD","N","ALL","1DA","ALL","ALL","GDL",500,0.1
"I930000891","ACCRVJC","US","USD","N","ALL","GND","ALL","ALL","GDL",500,0.1
"I930000891","ACCRVJD","US","USD","N","ALL","GND","ALL","ALL","RES",500,1700
"I930000891","ACCRVJE","US","USD","N","ALL","1DA","ALL","ALL","RES",500,1700
"I930000891","ACCRYXT","US","USD","N","ALL","ALL","ALL","ALL","GDL",0,0
"I930000891","ACCRYXU","US","USD","I","ALL","GND","ALL","ALL","GPU",0,0
"I930000891","ACCRYXV","US","USD","E","ALL","WXS","ALL","ALL","GDL",0,0
"I930000891","ACCRYXX","US","USD","I","ALL","XPR","ALL","ALL","GPU",0,0
"I930000891","ACCRYXY","US","USD","N","ALL","USL","ALL","ALL","GDL",0,0
"I930000891","ACCRYXZ","US","USD","I","ALL","XPD","ALL","ALL","GDL",0,0
"I930000891","ACCRYYA","US","USD","N","ALL","USB","ALL","ALL","GDL",0,0
"I930000891","ACCRYYB","US","USD","N","ALL","USG","ALL","ALL","GDL",0,0
"I930000891","ACCRYYC","US","USD","I","ALL","WXP","ALL","ALL","GPU",0,0
"I930000891","ACCRYYE","US","USD","I","ALL","WXP","ALL","ALL","GDL",0,0
"I930000891","ACCRYYH","US","USD","E","ALL","GND","ALL","ALL","GDL",0,0
"I930000891","ACCRYYI","US","USD","I","ALL","WWS","ALL","ALL","GPU",0,0
"I930000891","ACCRYYK","US","USD","E","ALL","WXP","ALL","ALL","GFP",0,0
"I930000891","ACCRYYL","US","USD","I","ALL","GND","ALL","ALL","GDL",0,0
"I930000891","ACCRYYN","US","USD","I","ALL","3DM","ALL","ALL","GDL",0,0
"I930000891","ACCRYYO","US","USD","E","ALL","WXP","ALL","ALL","GDL",0,0
"I930000891","ACCRYYQ","US","USD","I","ALL","WXS","ALL","ALL","GPU",0,0
"I930000891","ACCRYYT","US","USD","N","ALL","USM","ALL","ALL","GDL",0,0
"I930000891","ACCRYYU","US","USD","I","ALL","WWS","ALL","ALL","GDL",0,0
"I930000891","ACCRYYW","US","USD","E","ALL","WWS","ALL","ALL","GDL",0,0
"I930000891","ACCRYYX","US","USD","E","ALL","EXW","ALL","ALL","GDL",0,0
"I930000891","ACCRYYZ","US","USD","I","ALL","XPR","ALL","ALL","GDL",0,0
"I930000891","ACCRYZA","US","USD","E","ALL","WFM","ALL","ALL","GFP",0,0
"I930000891","ACCRYZB","US","USD","E","ALL","WFM","ALL","ALL","GDL",0,0
"I930000891","ACCRYZE","US","USD","E","ALL","XPD","ALL","ALL","GDL",0,0
"I930000891","ACCRYZF","US","USD","I","ALL","WXS","ALL","ALL","GDL",0,0
"I930000891","ACCRYZG","US","USD","I","ALL","3DM","ALL","ALL","GPU",0,0
"I930000891","ACCRYZJ","US","USD","I","ALL","WFM","ALL","ALL","GDL",0,0
"I930000891","ACCRYZK","US","USD","I","ALL","WFM","ALL","ALL","GFD",0,0
"I930000891","ACCRYZM","US","USD","I","ALL","EXW","ALL","ALL","GDL",0,0
"I930000891","ACCRYZO","US","USD","I","ALL","WFM","ALL","ALL","GPU",0,0
"I930000891","ACCRYZP","US","USD","I","ALL","EXW","ALL","ALL","GPU",0,0
"I930000891","ACCRYZQ","US","USD","E","ALL","XPR","ALL","ALL","GDL",0,0
"I930000891","ACCRYZR","US","USD","I","ALL","XPD","ALL","ALL","GPU",0,0
"I930000891","ACCRYZT","US","USD","I","ALL","WXP","ALL","ALL","GFD",0,0
"I930000891","ACCRZKC","US","USD","N","ALL","1DA","ALL","ALL","FSC",1,0.1
