"NVP_BID_NR","SVC_GRP_NR","PND_STS_CD","CPE_ETM_RPP_A","SVC_GRP_TRG_PSE_A","SVC_TRG_LOW_RNG_A","SVC_TRG_HI_RNG_A","TRG_PSE_FCR_NR"
"I110000891","ACCRVJG"," ",10.7707,8.843,9.158,8.843,"0241"
"I110000891","ACCRVJH"," ",30.3129,28.816,29.844,28.816,"0241"
"I110000891","ACCRVJI"," ",10.2578,8.583,8.889,8.583,"0241"
"I110000891","ACCRVJJ"," ",25.5096,24.308,25.176,24.308,"0241"
"I110000891","ACCRVJK"," ",7.7994,6.179,6.39,6.179,"0241"
"I110000891","ACCRVJL"," ",9.4273,7.665,7.939,7.665,"0241"
"I110000891","ACCRVJM"," ",8.636,6.574,6.801,6.574,"0241"
"I110000891","ACCRVJN"," ",8.636,6.912,7.15,6.912,"0241"
"I930000891","ACCRVGH"," ",16.1066,10.882,13.773,10.583,"0241"
"I930000891","ACCRVGI"," ",45.3303,28.816,38.237,28.816,"0241"
"I930000891","ACCRVGJ"," ",15.3397,10.312,13.119,10.023,"0241"
"I930000891","ACCRVGK"," ",38.1475,24.308,32.256,24.308,"0241"
"I930000891","ACCRVGL"," ",7.3353,6.078,7.746,6.021,"0241"
"I930000891","ACCRVGM"," ",19.404,19.645,21.308,19.492,"0241"
"I930000891","ACCRVGN"," ",7.6595,5.894,7.561,5.836,"0241"
"I930000891","ACCRVGO"," ",11.1247,7.638,9.57,7.438,"0241"
"I930000891","ACCRVGP"," ",13.4467,8.645,11.151,8.386,"0241"
"I930000891","ACCRVGQ"," ",12.3179,8.368,10.452,8.152,"0241"
"I930000891","ACCRVGR"," ",12.3179,8.456,10.636,8.231,"0241"
"I930000891","ACCRVGS"," ",19.2737,15.103,18.677,14.979,"0241"
"I930000891","ACCRVGT"," ",22.8989,17.765,22.141,17.613,"0241"
"I930000891","ACCRVGU"," ",12.2382,8.096,10.225,7.876,"0241"
"I930000891","ACCRVGV"," ",93.4294,65.778,87.283,65.778,"0241"
"I930000891","ACCRVGW"," ",48.5979,34.668,46.002,34.668,"0241"
"I930000891","ACCRVGX"," ",20.508,14.926,19.805,14.926,"0241"
"I930000891","ACCRVGY"," ",35.9214,25.26,33.518,25.26,"0241"
"I930000891","ACCRVGZ"," ",116.6112,83.18,110.374,83.18,"0241"
"I930000891","ACCRVHA"," ",63.4432,41.798,52.224,40.722,"0241"
"I930000891","ACCRVHB"," ",50.0899,36.477,48.403,36.477,"0241"
"I930000891","ACCRVHC"," ",45.1684,30.004,37.546,29.226,"0241"
"I930000891","ACCRVHD"," ",86.4223,60.622,80.441,60.622,"0241"
"I930000891","ACCRVHE"," ",69.0029,45.929,56.049,44.884,"0241"
"I930000891","ACCRVHF"," ",29.024,19.273,24.286,18.755,"0241"
"I930000891","ACCRVHG"," ",57.6878,38.087,47.947,37.069,"0241"
"I930000891","ACCRVHH"," ",56.5259,39.33,52.189,39.33,"0241"
"I930000891","ACCRVHI"," ",24.2432,17.155,22.763,17.155,"0241"
"I930000891","ACCRVHJ"," ",141.8848,97.982,130.015,97.982,"0241"
"I930000891","ACCRVHK"," ",104.8854,73.208,97.142,73.208,"0241"
"I930000891","ACCRVHL"," ",79.4789,53.752,64.309,52.662,"0241"
"I930000891","ACCRVHM"," ",33.6259,22.542,27.97,21.981,"0241"
"I930000891","ACCRVHN"," ",57.6878,38.488,47.763,37.531,"0241"
"I930000891","ACCRVHO"," ",42.4209,28.59,35.36,27.891,"0241"
"I930000891","ACCRVHP"," ",29.8922,19.684,24.429,19.194,"0241"
"I930000891","ACCRVHQ"," ",58.9362,39.7,49.264,38.712,"0241"
"I930000891","ACCRVHR"," ",42.0751,27.58,34.259,26.891,"0241"
"I930000891","ACCRVHS"," ",31.3208,22.724,30.153,22.724,"0241"
"I930000891","ACCRVHT"," ",34.7049,24.455,32.45,24.455,"0241"
"I930000891","ACCRVHU"," ",6.525,5.191,6.235,5.155,"0241"
"I930000891","ACCRVHV"," ",7.596,6.396,7.611,6.354,"0241"
"I930000891","ACCRVHW"," ",967.3465,651.803,858.098,631.008,"0241"
"I930000891","ACCRVHX"," ",1821.9307,1247.207,1537.736,1217.215,"0241"
"I930000891","ACCRVHY"," ",618.1133,476.239,631.935,476.239,"0241"
"I930000891","ACCRVHZ"," ",1024.9228,641.588,831.463,621.987,"0241"
